X,Y,NAME,ADDRESS,PHONE,EMAIL,CONTACT,CONTACT2,PLOTS,ORGANIZATION,WEB_URL,COMMENTS,WARD,LATITUDE,LONGITUDE,XCOORD,YCOORD,GIS_ID,MAR_ID,GLOBALID,CREATED,EDITED,OBJECTID
-8575048.30651442,4717451.75549953,Ft. Stevens Garden,1327 VAN BUREN STREET NW,829-8457,,Mrs. Corina Prince,,9,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.97052659,-77.03096726,397305.72,144706.25,CommunityGardenPt_1,290152,{D424973D-2F1D-4E71-A332-569D43EB7F8D},,2024/11/19 01:39:47+00,1
-8573610.54977994,4717216.95431986,Takoma Garden,300 VAN BUREN STREET NW,,,,,11,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.96888669,-77.01805168,398435.64,144552.48,CommunityGardenPt_2,296168,{3F59A195-CC57-4949-A6B5-A7DDCF90E34A},,2024/11/19 01:39:47+00,2
-8577569.70999708,4716905.99139491,Rock Creek Garden,OREGON AVENUE NW AND NORTHAMPTON STREET NW,882-9527 or 583-4740,nmoswald@yahoo.com,Nancy Oswald, ,,NPS,http://dcgardens.com/community-gardens/,,Ward 4,38.9667148,-77.05361741,395310.5999936,144382.98000342,CommunityGardenPt_3,904431,{D0518FF8-FE38-47B1-8050-B9CB8EA71957},,2024/11/19 01:39:47+00,3
-8574992.59946411,4716470.8462666,Fort Stevens Community Garden,13TH STREET NW AND FORT STEVENS DRIVE NW,,,,,,NPS,,,Ward 4,38.96367546,-77.03046683,397396.07999554,144052.68000311,CommunityGardenPt_4,903937,{82825E83-2272-4131-9607-99AFC1924849},,2024/11/19 01:39:47+00,4
-8574415.92226485,4716378.43774533,Peabody Garden,8TH STREET NW AND PEABODY STREET NW,722-5270, ,William Vest, ,,NPS,http://dcgardens.com/community-gardens/,,Ward 4,38.96303001,-77.02528646,397902.05001201,143865.95001894,CommunityGardenPt_5,901763,{68F17929-52CD-43A4-9A55-E8DE58CC2429},,2024/11/19 01:39:47+00,5
-8572529.98942006,4716027.81998523,Blair Road Community Garden,NICHOLSON STREET NW AND BLAIR ROAD NW,,,,,,NPS,,,Ward 4,38.96058095,-77.00834484,399198.17001321,143586.29001868,CommunityGardenPt_6,18636,{C0090024-B9B4-48E0-958D-1D0D1E062CFF},,2024/11/19 01:39:47+00,6
-8574524.04799956,4715919.86845371,Emery Garden,9TH STREET NW AND MISSOURI AVENUE NW,387-3984,,,Alice Martin,40,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.95982689,-77.02625777,397750.93,143599.5,CommunityGardenPt_7,902554,{E03B4E80-FC8C-4B60-93D3-F4007463BDE2},,2024/11/19 01:39:47+00,7
-8572319.17875476,4714930.89639765,Mamie D. Lee Garden,100 GALLATIN STREET NE,301-422-7983,MamieDLeeGarden@gmail.com,,,,NPS,http://mamiedleegarden.blogspot.com/,,Ward 5,38.95291841,-77.0064511,399351.72,142773.48,CommunityGardenPt_8,294470,{0CCBE5E6-7581-4B55-B312-D54DDE2860FA},,2024/11/19 01:39:47+00,8
-8575088.53617556,4714871.51468739,Hamilton Garden,1340 HAMILTON STREET NW,,,,,8,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.95250357,-77.03132866,397283.77,142746.35,CommunityGardenPt_9,255042,{34DD3EEA-1D2B-4A5D-8AFA-7813C254DDB8},,2024/11/19 01:39:47+00,9
-8580472.03646744,4714746.6510648,Fort Reno Garden,BELT ROAD NW AND DAVENPORT STREET NW,362-1434,,Martha Hamilton,,,NPS,http://fieldtoforknetwork.org/community-gardens/fort-reno/,,Ward 3,38.95163128,-77.07968944,393079.95999153,142692.40000185,CommunityGardenPt_10,903365,{BC2DD65F-7580-4552-8105-0364DC4BA60F},,2024/11/19 01:39:47+00,10
-8571663.01975843,4714397.86007472,CAFB Urban Demonstration Garden,4900 PUERTO RICO AVENUE NE,,,,,,Capital Area Food Bank,,,Ward 5,38.94919459,-77.00055672,400047.08,142156.04,CommunityGardenPt_11,288297,{CF112C03-8BD4-4A37-89CD-B955DA668002},,2024/11/19 01:39:47+00,11
-8581381.20133788,4713710.16488604,Friendship Garden,45TH STREET NW AND VAN NESS STREET NW,,joshua.singer@dc.gov,Josh,Tommy Tomlinson,50,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 3,38.94439003,-77.08785661,392390.85000689,141700.31001693,CommunityGardenPt_12,903069,{3D1FF3E0-6835-4240-92A8-E01086F424D7},,2024/11/19 01:39:47+00,12
-8575107.68799152,4713465.76695748,Upshur Garden,14TH STREET NW AND UPSHUR STREET NW,,,,,40,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.94268247,-77.0315007,397162.77999532,141553.40000079,CommunityGardenPt_13,902178,{3AA25DD1-F6BF-4B8A-8813-AF117956998E},,2024/11/19 01:39:47+00,13
-8575244.27357496,4713197.25041433,Twin Oaks Community Garden,14TH STREET NW AND TAYLOR STREET NW,,kelly.melsted@dc.gov,Kelly Melsted,,62,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 4,38.94080636,-77.03272766,397162.69999532,141435.66000068,CommunityGardenPt_14,902177,{F4B42ED2-C583-4B4E-8041-27F5F1D6D3D6},,2024/11/19 01:39:47+00,14
-8578518.68895697,4712996.64871809,Melvin Hazen Garden,SEDGWICK STREET NW AND CONNECTICUT AVENUE NW,244-3140,Melvin.Hazen.Garden@verizon.net,Karin Adams,,,NPS,https://sites.google.com/site/melvinhazengarden/,,Ward 3,38.93940473,-77.0607342,394734.59000907,141279.61001654,CommunityGardenPt_15,904847,{FDE93927-1835-4BA2-B8B0-4DE80975E569},,2024/11/19 19:57:38+00,15
-8570759.02227401,4712996.78127024,Turkey Thicket Gardens,1100 MICHIGAN AVENUE NE,,turkeythicketgardeners@gmail.com,,,15,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.93940566,-76.99243598,400641.56,141130.75,CommunityGardenPt_16,74630,{9C1833CD-F724-4C55-AE5D-5EE88F38CD4C},,2024/11/19 01:39:47+00,16
-8574706.17312489,4712814.08290558,Petworth 10th Quincy Kansas Community Garden,"ALLEY LOT BETWEEN QUINCY ST NW, KANSAS AVE NW, RANDOLPH ST NW, AND 10TH ST NW",,,,,,,,,Ward 4,38.93812909,-77.02789382,0,0,CommunityGardenPt_17,,{AE5178B3-350A-4641-ACCB-F33A949E6165},,2024/11/19 01:39:47+00,17
-8573636.85984813,4712608.5263915,Armed Forces Retirement Home Community-Resident Garden,140 ROCK CREEK CHURCH RD NW,,,,,,,,,Ward 5,38.94191276,-77.0128623,398884.93,141558.05,CommunityGardenPt_18,334859,{B59857FD-971C-47E2-9002-8D20980D5042},,2024/11/19 01:41:59+00,18
-8569052.51156043,4712560.38885685,Taft Field Garden,1800 PERRY STREET NE,,,,,10,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.93635643,-76.97710614,401855.75,140990.2,CommunityGardenPt_19,294529,{017816AB-A6F9-41BD-BB58-11026F23C056},,2024/11/19 01:39:47+00,19
-8580060.72491921,4712405.76689011,Newark Street Community Garden,NEWARK STREET NW AND 39TH STREET NW,,rondell.pooler@dc.gov,RonDell,,220,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 3,38.93527601,-77.07599457,393307.83999174,140871.20000016,CommunityGardenPt_20,911391,{46A857A5-B358-4C37-9409-44AF0E54AFF6},,2024/11/19 01:39:47+00,20
-8573510.67125726,4711704.89255366,Wangari Gardens,KENYON STREET NW AND IRVING STREET NW,,,,,,,,,Ward 5,38.9303784,-77.01715445,398644.4605087,140349.86918368,CommunityGardenPt_21,904613,{F32E8706-F552-4D09-A431-FCD8C6B483FA},,2024/11/19 01:39:47+00,21
-8574329.94237494,4711394.50015506,Bruce Monroe,3000 GEORGIA AVE NW,,joshua.singer@dc.gov,Josh,,214,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 1,38.92820932,-77.02451409,397947.85,140075.75,CommunityGardenPt_22,308626,{73DD8E63-4CFE-4B95-91B4-096A07C612A3},,2024/11/19 01:39:47+00,22
-8570635.2403921,4711051.54428575,Noyes Gardens,10TH STREET NE AND FRANKLIN STREET NE,,friendsofnoyespark@gmail.com,,,7,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.92581261,-76.99132403,400656.43001456,139745.35001511,CommunityGardenPt_23,901346,{59EB3DC1-6900-4948-98A7-0DCD52A3A14E},,2024/11/19 01:39:47+00,23
-8568466.75398766,4711018.16703108,Langdon Youth & Community Garden,FRANKLIN STREET NE AND MILLS AVENUE NE,,,,,22,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.92557934,-76.97184419,402441.46835222,139745.19663911,CommunityGardenPt_24,903267,{F9A1A747-328B-428D-8C34-D48BEFFEA281},,2024/11/19 01:39:47+00,24
-8580729.09329068,4710970.77110418,Glover Archbold Garden,42ND STREET NW AND NEW MEXICO AVENUE NW,965-9388,,Dino Kraniotis,,,NPS,http://dcgardens.com/community-gardens/,,Ward 3,38.92524812,-77.08199862,392950.23064741,139799.45532717,CommunityGardenPt_25,906748,{5B37D854-76C5-46E6-841B-EEB6B8491EB3},,2024/11/19 01:39:47+00,25
-8571798.65039544,4710892.74700531,Edgewood Gardens,301 FRANKLIN STREET NE,,info@edgewooddc.org,,,10,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.92470284,-77.00177512,399824.25,139649.91,CommunityGardenPt_26,289734,{B720D28F-81A0-4961-903F-2EF242B117D1},,2024/11/19 01:39:47+00,26
-8583242.18837845,4710871.60132958,Palisades Garden,5200 SHERIER PLACE NW,,joshua.singer@dc.gov,Josh,,20,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 3,38.92455506,-77.10457413,390931.96,139636.31,CommunityGardenPt_27,268352,{703C38DC-8579-403A-A770-FA5762AAF4C8},,2024/11/19 01:39:47+00,27
-8566902.23405994,4710816.16102574,Theodore Hagans Garden,3201 FORT LINCOLN DRIVE NE,,,,,,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 5,38.9241676,-76.95778988,403611.81,139592.92,CommunityGardenPt_28,295140,{A27022C3-0958-4ED1-975C-7E2C5DF7E26A},,2024/11/19 01:39:47+00,28
-8575253.80202028,4710696.52529785,Euclid Street Garden,14TH STREET NW AND EUCLID STREET NW,,joshua.singer@dc.gov,Josh,,40,DPR,https://dpr.dc.gov/page/community-gardens,,Ward 1,38.9233315,-77.03281326,397212.68,139543.72,CommunityGardenPt_29,903476,{88FDE590-DC99-4C36-ABA1-80AB7E2895C6},,2024/11/19 01:39:47+00,29
-8569485.85224728,4710458.42720099,Montana Garden,17TH STREET NE AND MONTANA AVENUE NE,497-7790 or 269-1622,,,,,,http://dcgardens.com/community-gardens/,,Ward 5,38.92166747,-76.9809989,401988.5700158,138662.77001411,CommunityGardenPt_30,906069,{1489640B-092E-4E85-8647-7DEB6D9BA946},,2024/11/19 01:39:47+00,30
-8574377.89857981,4710278.06972286,Howard University Community Garden (Halo Green),2251 SHERMAN AVENUE NW,,,,,,,,,Ward 1,38.92040695,-77.02494489,397862.6,139160.22,CommunityGardenPt_31,284325,{D1D34A85-A010-4296-AC53-7F3285789476},,2024/11/19 01:39:47+00,31
