X,Y,NAME,ADDRESS,SIZE_,WARD,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,MAR_ID,GIS_ID,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
-8581074.29030979,4708693.26092197,HARDY DOG PARK,4500 Q STREET NW,7500,3,392619.1,137944.42,38.90932975,-77.08509958,342062,DogParkPt_1,,1,{1468E933-D906-4B22-B64D-63EC59D10716},,,,
-8565019.02221431,4705548.73962951,TEXAS AVENUE DOG PARK,4600 TEXAS AVENUE SE,10300,7,405129.84,135502.23,38.88734565,-76.9408727,336403,DogParkPt_2,,2,{3AF855FC-37D4-43D8-82F2-DA5496AA7EC0},,,,
-8573319.86825794,4709977.70019107,THE PARK AT LEDROIT DOG PARK,319 OAKDALE PLACE NW,7650,1,398628.19,138920.01,38.91814812,-77.01581851,284597,DogParkPt_3,,3,{A6A0EEF6-B799-45E2-9CB2-6CDF0AE84DBB},,,JLAY,2025/09/05 00:54:27+00
-8576836.9804334,4710770.29146703,WALTER PIERCE DOG PARK,2630 ADAMS MILL ROAD NW,11000,1,395921.35,139553.57,38.92384704,-77.04703519,342065,DogParkPt_4,,4,{A6943E40-636D-450D-968D-18380A9122E1},,,,
-8575912.58487493,4709407.09120427,S STREET DOG PARK,17TH STREET NW AND S STREET NW,7500,2,396640.98,138495.58,38.91431936,-77.03873121,312715,DogParkPt_5,,5,{513424FD-DD87-44EB-AB8F-A4D63FB82515},,,,
-8574569.60668361,4709085.10669146,SHAW DOG PARK,11TH STREET NW AND RHODE ISLAND AVENUE NW,14000,2,397687.19,138245.37,38.91206876,-77.02666703,342066,DogParkPt_6,,6,{51541210-DD4C-4BE6-A6AD-5BD167EBB9B8},,,,
-8577570.63593541,4708329.63512984,FRANCIS DOG PARK,25TH STREET NW AND M STREET NW,7600,2,395348.74,137660.18,38.90678791,-77.05362573,342067,DogParkPt_7,,7,{C0805D4B-F774-488D-A03B-71762A362506},,,,
-8579504.72098455,4710482.77120909,GUY MASON DOG PARK,3600 CALVERT STREET NW,6750,3,393843.08,139331.85,38.92183761,-77.0709999,342068,DogParkPt_8,,8,{5A0A2C3D-04C1-4513-8B70-03CF8ABBA5ED},,,,
-8580610.45607078,4716548.84743897,CHEVY CHASE DOG PARK,41ST STREET NW AND LIVINGSTON STREET NW,5000,3,392985.89,144037.42,38.96422029,-77.08093288,342069,DogParkPt_9,,9,{5BC1F36B-5D7C-4163-AA4C-5DE2B6DD68FC},,,,
-8580135.53627549,4712342.28157646,NEWARK DOG PARK,39TH STREET NW AND NEWARK STREET NW,9570,3,393352.89,140774.78,38.93483239,-77.07666661,342070,DogParkPt_10,,10,{15400E28-E5B5-4D0B-AE3B-12F19BD4A4CE},,,,
-8573687.33012224,4717229.57869726,TAKOMA DOG PARK,5TH STREET NW AND UNDERWOOD STREET NW,10660,4,398375.87,144562.28,38.96897486,-77.01874141,342071,DogParkPt_11,,11,{D5984FFC-9D36-4A66-A9CA-26CBBA173101},,,,
-8575092.95036527,4713765.24853287,UPSHUR DOG PARK,4300 ARKANSAS AVENUE NW,9500,4,397280.7,141876.16,38.94477488,-77.0313683,342072,DogParkPt_12,,12,{4D110574-9A76-4711-A81A-75B209E717ED},,,,
-8568816.54569005,4711142.66335615,LANGDON DOG PARK,2901 20TH STREET NE,11350,5,402168.97,139841.7,38.92644939,-76.97498642,342073,DogParkPt_13,,13,{603C5C3A-885A-4FCC-9325-ACA5A469A36F},,,,
-8571691.35493479,4709128.92178909,ALETHIA TANNER DOG PARK,R STREET NE AND METROPOLITAN BRANCH TRAIL,7280,5,399929.64,138279.03,38.91237502,-77.00081126,342074,DogParkPt_14,,14,{5D5DBB9E-FE57-4C83-B2FF-F3ECC838E1EF},,,,
-8570136.30565518,4706676.10968177,KINGSMAN DOG PARK,D STREET NE AND TENNESSEE AVENUE NE,11750,6,401141.45,136375.67,38.89522848,-76.98684202,309431,DogParkPt_15,,15,{555FA6C5-D675-41EB-8F80-9DBC47BA9730},,,,
-8571864.27864248,4707863.11223707,SWAMPOODLE DOG PARK,3RD STREET NE AND L STREET NE,4000,6,399794.89,137296.79,38.90352664,-77.00236466,342075,DogParkPt_16,,16,{23E54244-5148-4B64-BFD0-D848AAFDFC65},,,,
-8572999.81699378,4704170.6672652,LANSBURGH DOG PARK,M STREET SW AND DELAWARE AVENUE SW,11000,6,398909.69,134430.91,38.87770907,-77.01256538,342076,DogParkPt_17,,17,{57500162-7455-48B0-B502-99AF46F93EEF},,,,
-8570717.42966492,4704135.44303797,VIRGINIA AVENUE DOG PARK,901 VIRGINIA AVENUE SE,12600,8,400688.76,134403.52,38.87746274,-76.99206235,342077,DogParkPt_18,,18,{106E043C-D8B4-40BA-B32E-B3053F3F57DE},,,,
