NAME,ADDRESS,ALPHA_CODE,PARK_CODE,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,SQUARE,SUFFIX,LOT,SSL,PAR,GIS_ID,OBJECTID,GLOBALID,CREATED,EDITED,SHAPEAREA,SHAPELEN
Beach Parkway,"DC Line, Between East & West Beach Drive, NW",ROCR,821,"5, 6",,NPS,432,Beach Parkway,0000,,0000,RES 04320000,,ParkPly_1,1,{B11A8CCC-C818-4360-B30D-89A7AC473780},,,0,0
North Portal,"16th St.,between North Portal & South Portal Drs.",ROCR,821,"5, 6",,NPS,433,North Portal,0000,,0000,RES 04330000,,ParkPly_2,2,{73C212E7-F1D0-45AE-AA50-0F07ACB933FA},,,0,0
Piney Branch Portal,"Piney Branch Rd. & Eastern Ave., NW",ROCR,892,8,,NPS,531,Piney Branch Portal,3350,,0000,RES 05310000,,ParkPly_35,6,{74D0A36E-D798-42CD-8F54-C740392FF37C},,,0,0
Battleground National Cemetery,"Georgia Ave., Between Whittier Pl. & Van Buren St.",ROCR,858,9,,NPS,568,Battleground National Cemetery,2971,,0000,RES 05680000,,ParkPly_36,7,{CBB1923A-755B-4EF6-95E4-F5495ACCC2E0},,,0,0
Curb Parking,Western Ave. & Patterson St. NW,ROCR,878,8,,NPS,335,,0000,,0000,RES 03350000,,ParkPly_37,8,{35C5AA79-0096-4F95-9968-519DD91EDD5F},,,0,0
Chevy Chase Circle,"Western & Connecticut Aves., NW",ROCR,892,8,,NPS,335A,Chevy Chase Circle,1746,,0000,RES 335A0000,,ParkPly_38,9,{BCBC06FF-661A-4CB0-8E1B-59E71AD44CA8},,,0,0
Triangle,"Connecticut Ave., South Of Chevy Chase Circle, NW",ROCR,892,8,,NPS,468,,0000,,0000,RES 04680000,,ParkPly_39,10,{6017DB6D-6FB0-4311-BB41-24F3BF2CB270},,,0,0
Fort Stevens Park,"13th St., Between Piney Branch Rd. & Rittenhouse St., NW",ROCR,889,"5, 6",,NPS,358,Fort Stevens Park,"2939,2940",,0000,RES 03580000,,ParkPly_40,11,{60011D90-0C8C-4C5F-B6A7-E26C38759D40},,,0,0
Fort Circle Park,"Rock Creek Park To Fort Stevens Park, NW",ROCR,832,6,,NPS,499,Fort Circle Park,0000,,0000,RES 04990000,,ParkPly_41,12,{A3FBD828-44DE-49ED-B0AC-F433BF0E2026},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_42,13,{93E2A960-0FB7-4647-A872-6DEE5502C5F3},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_43,14,{EAD92AF3-E9FB-424D-804F-A58288CA9C68},,,0,0
Fort Circle Park,"Rock Creek Park To Fort Stevens Park, NW",ROCR,832,6,,NPS,499,Fort Circle Park,0000,,0000,RES 04990000,,ParkPly_46,17,{870096EF-6D2A-4571-B7EB-30A795D61E62},,,0,0
Francis G. Newlands Park (Little Forest),"Military rd., Between 28th & 30th sts., NW",ROCR,893,10,,NPS,668,Francis G. Newlands Park,2299,,0000,RES 06680000,,ParkPly_47,18,{DF15435D-CD4C-4D1D-A1BD-5E2793409555},,,0,0
Fort Circle Park,"Rock Creek Park To Fort Stevens Park, NW",ROCR,832,6,,NPS,499,Fort Circle Park,0000,,0000,RES 04990000,,ParkPly_48,19,{EBB19C1B-F955-458A-9DA2-142CEB344B08},,,0,0
Fort Circle Park,"Rock Creek Park To Fort Stevens Park, NW",ROCR,832,6,,NPS,499,Fort Circle Park,0000,,0000,RES 04990000,,ParkPly_49,20,{B73A8A02-2E10-4497-BB8E-E458DD2C9573},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_50,21,{04F3A753-7DB4-4987-8F55-9A43058019D7},,,0,0
Fort Circle Park,"Rock Creek Park To Fort Stevens Park, NW",ROCR,832,6,,NPS,499,Fort Circle Park,0000,,0000,RES 04990000,,ParkPly_52,23,{F19143D0-1CB8-4AE7-B2EF-3790317D1F2B},,,0,0
Fort Slocum Park,"2nd & 3rd Sts. To Oglethorpe & Madison Sts., NE",ROCR,887,"5, 6",,NPS,435,Fort Slocum Park,"3382,3383,3699,3700,3701,3702,3705,3706,3709",,0000,RES 04970000,,ParkPly_53,24,{CF5E480C-DE68-441B-B523-30E73234D116},,,0,0
Fort Circle Park,"Fort Slocum Park To Fort Totten Park, NE",ROCR,832,6,,NPS,497,Fort Circle Park,"3382,3383,3699,3700,3701,3702,3705,3706,3709",,0000,RES 04970000,,ParkPly_54,25,{409D7CB3-AD95-452B-8AF9-E878FB71C3CC},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_55,26,{7AE787A4-7EDF-451A-AC98-24D835E34195},,,0,0
Fort Circle Park,"Fort Slocum Park To Fort Totten Park, NE",ROCR,832,6,,NPS,497,Fort Circle Park,"3382,3383,3699,3700,3701,3702,3705,3706,3709",,0000,RES 04970000,,ParkPly_56,27,{D3C793A3-028D-419C-BEE2-02691A780AFD},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_58,29,{DA1E9C60-8F94-44D4-9531-17E827C504FB},,,0,0
Triangle,"Missouri Ave., Between Nicholson & 8th Sts. , NW",ROCR,892,8,,NPS,345,,2985,S,0000,RES 03450000,,ParkPly_59,30,{960D8B4D-4F28-4D7E-8925-17C7F0D24712},,,0,0
Triangle,"Missouri Ave., Between Marietta Pl. & 8th St., NW",ROCR,892,8,,NPS,346,,3155,N,0000,RES 03460000,,ParkPly_60,31,{57826109-4151-404B-A5ED-629D120E561E},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_61,32,{4C0FB0BC-3D27-4565-8407-07021E9603E0},,,0,0
Fort Circle Park,"Fort Stevens Park To Fort Slocum Park, NW",ROCR,832,"6, 8",,NPS,494,Fort Circle Park,MULTI-SQUARES & PARCELS,,0000,RES 04940000,,ParkPly_62,33,{4B8A850C-28E8-430A-A980-DBEDE2C93225},,,0,0
Fort Circle Park,"Fort Reno Park To Rock Creek Park , NW",ROCR,832,6,,NPS,515,Fort Circle Park,MULTI-SQUARES,,0000,RES 05150000,,ParkPly_64,35,{3883ACCD-81CB-4B5A-8D90-DEC3E056E9A3},,,0,0
Fort Circle Park,"Fort Reno Park To Rock Creek Park , NW",ROCR,832,6,,NPS,515,Fort Circle Park,"2027,2290",,0000,RES 05150000,,ParkPly_67,38,{D830E5B5-730A-444D-879D-5EE332399187},,,0,0
