Label (Grouping),District of Columbia!!Total!!Estimate,District of Columbia!!Total!!Margin of Error,District of Columbia!!Percent!!Estimate,District of Columbia!!Percent!!Margin of Error,District of Columbia!!Male!!Estimate,District of Columbia!!Male!!Margin of Error,District of Columbia!!Percent Male!!Estimate,District of Columbia!!Percent Male!!Margin of Error,District of Columbia!!Female!!Estimate,District of Columbia!!Female!!Margin of Error,District of Columbia!!Percent Female!!Estimate,District of Columbia!!Percent Female!!Margin of Error
Total population,"702,250",*****,(X),(X),"332,062",±940,(X),(X),"370,188",±940,(X),(X)
    AGE,,,,,,,,,,,,
        Under 5 years,"39,498",±79,5.60%,±0.1,"19,495",±408,5.90%,±0.1,"20,003",±402,5.40%,±0.1
        5 to 9 years,"40,844","±3,529",5.80%,±0.5,"19,365","±2,280",5.80%,±0.7,"21,479","±2,302",5.80%,±0.6
        10 to 14 years,"31,330","±3,541",4.50%,±0.5,"17,192","±2,266",5.20%,±0.7,"14,138","±2,307",3.80%,±0.6
        15 to 19 years,"37,960","±1,898",5.40%,±0.3,"17,787","±1,349",5.40%,±0.4,"20,173","±1,593",5.40%,±0.4
        20 to 24 years,"51,246","±1,866",7.30%,±0.3,"22,533","±1,075",6.80%,±0.3,"28,713","±1,371",7.80%,±0.4
        25 to 29 years,"73,496",±715,10.50%,±0.1,"32,711",±3,9.90%,±0.1,"40,785",±715,11.00%,±0.2
        30 to 34 years,"77,820",±253,11.10%,±0.1,"37,052",±161,11.20%,±0.1,"40,768",±232,11.00%,±0.1
        35 to 39 years,"63,730","±3,422",9.10%,±0.5,"31,355","±2,229",9.40%,±0.7,"32,375","±2,516",8.70%,±0.7
        40 to 44 years,"56,764","±3,382",8.10%,±0.5,"27,663","±2,203",8.30%,±0.7,"29,101","±2,491",7.90%,±0.7
        45 to 49 years,"39,775",±559,5.70%,±0.1,"19,563",±559,5.90%,±0.2,"20,212",±2,5.50%,±0.1
        50 to 54 years,"34,776",±558,5.00%,±0.1,"17,565",±559,5.30%,±0.2,"17,211",±2,4.60%,±0.1
        55 to 59 years,"32,940","±2,480",4.70%,±0.4,"16,781","±1,768",5.10%,±0.5,"16,159","±1,896",4.40%,±0.5
        60 to 64 years,"31,397","±2,479",4.50%,±0.4,"14,980","±1,776",4.50%,±0.5,"16,417","±1,905",4.40%,±0.5
        65 to 69 years,"27,028","±2,049",3.80%,±0.3,"12,431","±1,482",3.70%,±0.4,"14,597","±1,537",3.90%,±0.4
        70 to 74 years,"23,822","±1,982",3.40%,±0.3,"9,881","±1,370",3.00%,±0.4,"13,941","±1,526",3.80%,±0.4
        75 to 79 years,"17,251","±1,855",2.50%,±0.3,"6,773",±889,2.00%,±0.3,"10,478","±1,441",2.80%,±0.4
        80 to 84 years,"13,210","±2,013",1.90%,±0.3,"5,067","±1,085",1.50%,±0.3,"8,143","±1,680",2.20%,±0.5
        85 years and over,"9,363","±1,126",1.30%,±0.2,"3,868",±757,1.20%,±0.2,"5,495",±959,1.50%,±0.3
    SELECTED AGE CATEGORIES,,,,,,,,,,,,
        5 to 14 years,"72,174",±259,10.30%,±0.1,"36,557",±95,11.00%,±0.1,"35,617",±266,9.60%,±0.1
        15 to 17 years,"18,346",±268,2.60%,±0.1,"9,048",±772,2.70%,±0.2,"9,298",±810,2.50%,±0.2
        Under 18 years,"130,018",±48,18.50%,±0.1,"65,100",±863,19.60%,±0.2,"64,918",±862,17.50%,±0.2
        18 to 24 years,"70,860",±676,10.10%,±0.1,"31,272",±48,9.40%,±0.1,"39,588",±678,10.70%,±0.2
        15 to 44 years,"361,016",±394,51.40%,±0.1,"169,101",±847,50.90%,±0.2,"191,915",±857,51.80%,±0.1
        16 years and over,"584,506","±1,651",83.20%,±0.2,"273,263","±1,291",82.30%,±0.4,"311,243","±1,433",84.10%,±0.4
        18 years and over,"572,232",±48,81.50%,±0.1,"266,962",±278,80.40%,±0.2,"305,270",±274,82.50%,±0.2
        21 years and over,"543,551","±2,464",77.40%,±0.4,"253,928","±1,593",76.50%,±0.5,"289,623","±1,910",78.20%,±0.5
        60 years and over,"122,071","±2,482",17.40%,±0.4,"53,000","±1,776",16.00%,±0.5,"69,071","±1,907",18.70%,±0.5
        62 years and over,"110,753","±2,623",15.80%,±0.4,"48,190","±1,775",14.50%,±0.5,"62,563","±1,864",16.90%,±0.5
        65 years and over,"90,674",±94,12.90%,±0.1,"38,020",±2,11.40%,±0.1,"52,654",±93,14.20%,±0.1
        75 years and over,"39,824",±716,5.70%,±0.1,"15,708",±580,4.70%,±0.2,"24,116",±453,6.50%,±0.1
    SUMMARY INDICATORS,,,,,,,,,,,,
        Median age (years),34.9,±0.1,(X),(X),35,±0.1,(X),(X),34.9,±0.1,(X),(X)
        Sex ratio (males per 100 females),89.7,±0.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age dependency ratio,45.8,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Old-age dependency ratio,18.8,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Child dependency ratio,27,±0.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    PERCENT ALLOCATED,,,,,,,,,,,,
        Sex,(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age,(X),(X),1.50%,(X),(X),(X),(X),(X),(X),(X),(X),(X)
