Neighborhood,Married_Pct,Household_Count,Rank,Notes
Anacostia Naval Station,84%,658,1,
Kent,76%,581,2,
Spring Valley,70%,626,3,
Colonial Vlg,69%,333,4,
Barnaby Woods,68%,420,5,
Hawthorne,63%,147,6,
Massachusetts Pk,63%,42,7,
Potomac Hts,62%,222,8,
Foxhall,60%,194,9,
Colony Hill,60%,16,10,
Observatory Circle,53%,175,11,
Friendship Hts,53%,415,12,
Gloverwood,52%,,13,Count not legible
Shepherd Park,52%,530,14,
Chevy Chase,52%,2470,15,
American Univ Pk,50%,1822,16,
Dupont Park,49%,297,17,
Tenleytown,47%,79,18,
Berkley,45%,266,19,
N Cleveland Pk,43%,409,20,
Woodridge,41%,550,21,
Gateway,41%,63,22,
N Michigan Pk,39%,36,23,
Georgetown,39%,1140,24,
Wesley Hts,39%,910,25,
Woodland-Normanstone,39%,110,26,
Hillcrest,38%,69,27,
Barney Circle,38%,493,28,
Brookland,38%,1046,29,
Michigan Park,38%,334,30,
Capitol Hill,35%,4547,34,
Forest Hills,34%,1330,37,
Petworth,32%,2111,39,
Cathedral Hts,29%,719,47,
Riggs Park,25%,835,56,
Lincoln Hts,23%,139,65,
Columbia Hts,20%,2456,73,
SW Waterfront,19%,1321,74,
Logan Circle,18%,1790,80,
Truxton Circle,16%,286,83,
River Terrace,14%,201,93,
Downtown,13%,286,102,
Carver,11%,117,111,
St Elizabeths,9%,23,120,
Ivy City,8%,16,126,
Sursum Corda Co,8%,75,127,
Naylor Gdns,8%,48,128,
Mayfair,4%,63,129,
Barry Farm,3%,30,130,
Washington DC (ref),49%,1060000,,City reference
Tract 001100 (ref),55%,1183,,Census tract reference
D.C. / District of Columbia (ref),25%,88700,,Jurisdictional reference
United States (ref),48%,56300000,,National reference
South Atlantic (ref),47%,11000000,,Regional reference
South (ref),48%,21200000,,Regional reference
