Neighborhood,OnePerson_Pct,Household_Count,Rank,Notes
Fairfax Vlg,74%,610,1,
Downtown,67%,1512,2,
Penn Quarter,66%,960,3,
Fort Lincoln,65%,1045,4,
Naylor Gdns,64%,737,5,
Foggy Bottom,64%,2684,6,
Dupont Circle,63%,6167,7,
Cathedral Hts,60%,519,8,
Gallaudet,60%,174,9,
Ivy City,60%,126,10,
SW Waterfront,60%,4056,11,
Chinatown,58%,377,12,
Judiciary Sq,57%,610,13,
NoMa,57%,109,14,
Wakefield,57%,956,15,
Mahaning Hts,57%,433,16,
Swampoodle,57%,219,17,
Logan Circle,56%,5534,18,
Langston,56%,937,19,
West End,55%,1091,20,
National Arboretum,54%,46,21,
McLean Gdns,54%,414,23,
Adams Morgan,53%,4998,24,
Glover Park,53%,2053,25,
Sursum Corda Co,53%,513,26,
Mt Vernon Sq,53%,1570,27,
Catholic Univ,51%,1101,28,
River Terrace,51%,728,29,
Cleveland Pk,49%,2249,30,
Wesley Hts,47%,1100,37,
Congress Hts,45%,1378,47,
Brightwood Pk,42%,458,56,
Greenway,40%,634,65,
Capitol Hill,40%,5119,68,
Fort Dupont,38%,703,74,
Columbia Hts,38%,4643,77,
The Palisades,36%,396,83,
Buena Vista,33%,44,95,
Petworth,33%,2166,96,
American Univ Pk,31%,1132,102,
Lincoln Hts,26%,159,111,
Friendship Hts,26%,204,113,
Crestwood,23%,185,120,
Barnaby Woods,16%,99,126,
Colonial Vlg,16%,75,127,
Kent,14%,106,128,
Hillcrest,14%,42,129,
Anacostia Naval Station,9%,71,130,
Tract 001100 (ref),31%,654,,Census tract reference
D.C. / District of Columbia (ref),43%,120000,,Jurisdictional reference
South Atlantic (ref),28%,6560000,,Regional reference
United States (ref),28%,32800000,,National reference
South (ref),28%,12200000,,Regional reference
Washington Metro (ref),28%,582000,,Metro area reference
