Label (Grouping),District of Columbia!!Occupied housing units!!Estimate,District of Columbia!!Occupied housing units!!Margin of Error,District of Columbia!!Percent occupied housing units!!Estimate,District of Columbia!!Percent occupied housing units!!Margin of Error,District of Columbia!!Owner-occupied housing units!!Estimate,District of Columbia!!Owner-occupied housing units!!Margin of Error,District of Columbia!!Percent owner-occupied housing units!!Estimate,District of Columbia!!Percent owner-occupied housing units!!Margin of Error,District of Columbia!!Renter-occupied housing units!!Estimate,District of Columbia!!Renter-occupied housing units!!Margin of Error,District of Columbia!!Percent renter-occupied housing units!!Estimate,District of Columbia!!Percent renter-occupied housing units!!Margin of Error
Occupied housing units,"329,687","±4,510","329,687","±4,510","134,836","±4,781","134,836","±4,781","194,851","±6,181","194,851","±6,181"
    UNITS IN STRUCTURE,,,,,,,,,,,,
"        1, detached","35,996","±2,560",10.90%,±0.8,"32,953","±2,397",24.40%,±1.9,"3,043","±1,042",1.60%,±0.5
"        1, attached","70,211","±4,033",21.30%,±1.2,"54,198","±3,655",40.20%,±2.3,"16,013","±2,212",8.20%,±1.1
        2 apartments,"9,771","±1,549",3.00%,±0.5,"3,532",±867,2.60%,±0.7,"6,239","±1,324",3.20%,±0.7
        3 or 4 apartments,"23,143","±2,735",7.00%,±0.8,"5,188","±1,376",3.80%,±1.0,"17,955","±2,545",9.20%,±1.3
        5 to 9 apartments,"18,758","±3,146",5.70%,±1.0,"4,057","±1,022",3.00%,±0.8,"14,701","±3,055",7.50%,±1.6
        10 or more apartments,"171,566","±6,286",52.00%,±1.6,"34,870","±3,493",25.90%,±2.2,"136,696","±6,128",70.20%,±2.1
        Mobile home or other type of housing,242,±276,0.10%,±0.1,38,±64,0.00%,±0.1,204,±271,0.10%,±0.1
    YEAR STRUCTURE BUILT,,,,,,,,,,,,
        2020 or later,"17,270","±2,572",5.20%,±0.8,"3,926","±1,178",2.90%,±0.9,"13,344","±2,535",6.80%,±1.3
        2010 to 2019,"51,412","±4,637",15.60%,±1.4,"8,556","±1,316",6.30%,±1.0,"42,856","±4,339",22.00%,±2.2
        2000 to 2009,"25,567","±3,070",7.80%,±0.9,"8,907","±1,925",6.60%,±1.4,"16,660","±2,640",8.60%,±1.4
        1980 to 1999,"18,557","±2,471",5.60%,±0.7,"6,345","±1,435",4.70%,±1.1,"12,212","±2,143",6.30%,±1.1
        1960 to 1979,"55,089","±5,064",16.70%,±1.5,"17,847","±2,385",13.20%,±1.7,"37,242","±4,057",19.10%,±2.0
        1940 to 1959,"60,442","±5,210",18.30%,±1.6,"27,083","±2,812",20.10%,±1.9,"33,359","±4,386",17.10%,±2.1
        1939 or earlier,"101,350","±4,150",30.70%,±1.2,"62,172","±3,293",46.10%,±2.1,"39,178","±3,460",20.10%,±1.6
    ROOMS,,,,,,,,,,,,
        1 room,"36,561","±4,575",11.10%,±1.3,"2,517","±1,005",1.90%,±0.7,"34,044","±4,488",17.50%,±2.2
        2 or 3 rooms,"114,524","±6,729",34.70%,±2.0,"23,565","±2,975",17.50%,±2.1,"90,959","±6,061",46.70%,±2.6
        4 or 5 rooms,"84,355","±5,801",25.60%,±1.8,"33,637","±3,507",24.90%,±2.4,"50,718","±4,641",26.00%,±2.3
        6 or 7 rooms,"48,237","±3,497",14.60%,±1.1,"34,471","±2,762",25.60%,±2.0,"13,766","±2,541",7.10%,±1.3
        8 or more rooms,"46,010","±3,309",14.00%,±1.0,"40,646","±3,046",30.10%,±2.1,"5,364","±1,228",2.80%,±0.6
    BEDROOMS,,,,,,,,,,,,
        No bedroom,"44,070","±4,994",13.40%,±1.5,"3,358","±1,199",2.50%,±0.9,"40,712","±4,818",20.90%,±2.3
        1 bedroom,"97,570","±5,506",29.60%,±1.6,"18,920","±2,334",14.00%,±1.7,"78,650","±5,203",40.40%,±2.3
        2 or 3 bedrooms,"146,915","±5,979",44.60%,±1.9,"77,258","±4,054",57.30%,±2.1,"69,657","±5,306",35.70%,±2.7
        4 or more bedrooms,"41,132","±3,032",12.50%,±0.9,"35,300","±2,816",26.20%,±2.0,"5,832","±1,387",3.00%,±0.7
    COMPLETE FACILITIES,,,,,,,,,,,,
        With complete plumbing facilities,"329,260","±4,487",99.90%,±0.1,"134,717","±4,776",99.90%,±0.1,"194,543","±6,194",99.80%,±0.2
        With complete kitchen facilities,"328,446","±4,528",99.60%,±0.1,"134,552","±4,751",99.80%,±0.2,"193,894","±6,142",99.50%,±0.2
    VEHICLES AVAILABLE,,,,,,,,,,,,
        No vehicle available,"120,469","±6,178",36.50%,±1.7,"20,795","±2,259",15.40%,±1.5,"99,674","±5,769",51.20%,±2.6
        1 vehicle available,"152,526","±6,539",46.30%,±2.0,"70,908","±4,506",52.60%,±2.6,"81,618","±5,947",41.90%,±2.7
        2 vehicles available,"47,296","±4,141",14.30%,±1.2,"35,286","±3,186",26.20%,±2.3,"12,010","±2,377",6.20%,±1.2
        3 or more vehicles available,"9,396","±1,388",2.80%,±0.4,"7,847","±1,377",5.80%,±1.0,"1,549",±689,0.80%,±0.4
    TELEPHONE SERVICE AVAILABLE,,,,,,,,,,,,
        With telephone service,"327,617","±4,505",99.40%,±0.3,"134,357","±4,798",99.60%,±0.3,"193,260","±6,268",99.20%,±0.5
    HOUSE HEATING FUEL,,,,,,,,,,,,
        Utility gas,"148,265","±5,623",45.00%,±1.8,"82,713","±4,396",61.30%,±2.4,"65,552","±4,678",33.60%,±2.3
"        Bottled or tank gas (propane, butane, etc.)","3,366","±1,338",1.00%,±0.4,"1,532",±986,1.10%,±0.7,"1,834",±753,0.90%,±0.4
        Electricity,"164,551","±6,864",49.90%,±1.8,"47,265","±3,561",35.10%,±2.3,"117,286","±6,246",60.20%,±2.4
"        Fuel oil, kerosene, etc.","2,569",±851,0.80%,±0.3,"1,213",±590,0.90%,±0.4,"1,356",±629,0.70%,±0.3
        Coal or coke,0,±247,0.00%,±0.1,0,±247,0.00%,±0.2,0,±247,0.00%,±0.1
        All other fuels,"3,946","±1,435",1.20%,±0.4,"1,179",±433,0.90%,±0.3,"2,767","±1,287",1.40%,±0.7
        No fuel used,"6,990","±2,111",2.10%,±0.6,934,±629,0.70%,±0.5,"6,056","±1,975",3.10%,±1.0
