GEOID,NAME,NAMELSAD,INTPTLAT,INTPTLON,median_household_income,poverty_candidate_pct,poverty_or_assistance_candidate_pct,ALAND,AWATER
11001005302,53.02,Census Tract 53.02,38.9124517,-77.0386443,138241.0,1.9,2.0,117635,0
11001004402,44.02,Census Tract 44.02,38.9155152,-77.0270354,177902.0,5.1,1.2,274746,0
11001010602,106.02,Census Tract 106.02,38.9033936,-76.9994636,175687.0,11.2,12.2,542512,0
11001000804,8.04,Census Tract 8.04,38.9221746,-77.0918347,250001.0,4.3,0.9,2566768,167978
11001003902,39.02,Census Tract 39.02,38.9257717,-77.0452397,114700.0,5.1,0.0,266513,11205
11001000903,9.03,Census Tract 9.03,38.9376821,-77.093331,250001.0,10.7,0.0,928101,0
11001001004,10.04,Census Tract 10.04,38.9487665,-77.0853886,222692.0,11.5,0.0,1471925,0
11001000102,1.02,Census Tract 1.02,38.905422,-77.0620045,159583.0,3.5,0.0,1706484,516665
11001003701,37.01,Census Tract 37.01,38.9214487,-77.0342887,105365.0,3.5,0.0,172840,0
11001002504,25.04,Census Tract 25.04,38.9394498,-77.0329275,109918.0,18.3,11.1,311721,0
11001000101,1.01,Census Tract 1.01,38.9076994,-77.0547765,135708.0,3.1,0.0,199776,5261
11001000703,7.03,Census Tract 7.03,38.9290941,-77.0790462,119077.0,2.9,0.0,232137,0
11001003901,39.01,Census Tract 39.01,38.9254851,-77.0401076,129095.0,4.0,0.0,120715,0
11001004401,44.01,Census Tract 44.01,38.9186825,-77.0282129,209013.0,3.6,0.0,246895,0
11001001003,10.03,Census Tract 10.03,38.9492362,-77.0930741,250001.0,5.0,0.0,982460,0
11001003802,38.02,Census Tract 38.02,38.922971,-77.0393505,159182.0,9.5,3.8,207186,0
11001002703,27.03,Census Tract 27.03,38.9334921,-77.0397435,134702.0,3.0,0.0,163863,0
11001003702,37.02,Census Tract 37.02,38.9249042,-77.0343972,89792.0,18.3,20.9,119532,0
11001000803,8.03,Census Tract 8.03,38.9336425,-77.0835217,143375.0,18.6,15.4,308154,0
11001003801,38.01,Census Tract 38.01,38.9197759,-77.0389415,132188.0,2.7,0.0,148928,0
11001000904,9.04,Census Tract 9.04,38.9366243,-77.1036767,250001.0,5.4,1.0,2024710,75151
11001000704,7.04,Census Tract 7.04,38.9300215,-77.0752384,93538.0,5.7,0.0,332346,0
11001001304,13.04,Census Tract 13.04,38.9367508,-77.0554702,119638.0,4.8,0.0,707155,9432
11001001303,13.03,Census Tract 13.03,38.9446266,-77.0589323,100671.0,7.4,0.0,889581,5274
11001002704,27.04,Census Tract 27.04,38.9345766,-77.0427534,88504.0,9.2,0.0,295339,2427
11001002503,25.03,Census Tract 25.03,38.9386375,-77.0271734,122526.0,4.9,0.0,292105,0
11001005601,56.01,Census Tract 56.01,38.901567,-77.0524317,79524.0,25.1,0.0,185309,1275
11001005501,55.01,Census Tract 55.01,38.9052766,-77.0494324,139738.0,8.1,5.7,164749,0
11001005602,56.02,Census Tract 56.02,38.8988888,-77.0554558,115930.0,13.0,1.0,273491,6261
11001005502,55.02,Census Tract 55.02,38.9101768,-77.0463615,112736.0,12.4,18.8,251302,0
11001005303,53.03,Census Tract 53.03,38.909613,-77.0391656,104085.0,10.1,0.0,168769,0
11001010202,102.02,Census Tract 102.02,38.8843563,-77.024577,120389.0,7.8,3.4,1069488,136354
11001980000,9800.0,Census Tract 9800,38.8809933,-77.0363219,,0.0,0.0,6514228,4996396
11001007202,72.02,Census Tract 72.02,38.8786426,-77.0070741,160333.0,5.0,0.0,183977,0
11001005202,52.02,Census Tract 52.02,38.911127,-77.0344946,158919.0,6.0,0.0,246292,0
11001005203,52.03,Census Tract 52.03,38.9077655,-77.0331441,106923.0,6.9,0.0,93419,0
11001005003,50.03,Census Tract 50.03,38.9074041,-77.0307609,145175.0,15.3,24.4,94136,0
11001005004,50.04,Census Tract 50.04,38.907252,-77.0283862,82386.0,21.1,20.9,143156,0
11001007201,72.01,Census Tract 72.01,38.8738481,-76.9999179,136333.0,3.4,0.0,781458,312419
11001005802,58.02,Census Tract 58.02,38.8979674,-77.0265766,151659.0,9.3,4.7,682488,0
11001004703,47.03,Census Tract 47.03,38.9034762,-77.0170713,81458.0,28.4,21.5,124124,0
11001004704,47.04,Census Tract 47.04,38.904566,-77.0114767,11094.0,76.5,79.1,198509,0
11001010603,106.03,Census Tract 106.03,38.9011144,-77.0063567,109103.0,4.6,2.1,464270,0
11001010601,106.01,Census Tract 106.01,38.907653,-77.0063018,120115.0,14.4,0.0,224811,0
11001011002,110.02,Census Tract 110.02,38.8681789,-77.0182455,102371.0,7.8,0.0,498112,367035
11001010201,102.01,Census Tract 102.01,38.8779576,-77.0184625,100194.0,6.0,1.9,174883,0
11001011001,110.01,Census Tract 110.01,38.8741656,-77.0157419,135179.0,19.3,27.8,152450,0
11001007203,72.03,Census Tract 72.03,38.8781777,-76.9994857,166316.0,7.6,2.1,384178,0
11001009510,95.1,Census Tract 95.10,38.9455978,-77.0046255,61005.0,15.2,8.0,841510,0
11001009511,95.11,Census Tract 95.11,38.9372097,-77.0010516,,100.0,,719468,0
11001005503,55.03,Census Tract 55.03,38.9062488,-77.0523495,100547.0,29.9,0.0,213338,4682
11001005801,58.01,Census Tract 58.01,38.8975634,-77.0205095,148333.0,21.3,10.9,232951,0
11001010900,109.0,Census Tract 109,38.8132364,-77.0238475,36156.0,25.5,18.6,2381079,2933589
11001010400,104.0,Census Tract 104,38.8512668,-77.0009082,93312.0,29.6,17.6,2602393,7006
11001009903,99.03,Census Tract 99.03,38.888318,-76.9212121,129853.0,7.3,4.0,383679,0
11001009904,99.04,Census Tract 99.04,38.8851712,-76.9311353,73859.0,24.5,24.5,426198,0
11001009905,99.05,Census Tract 99.05,38.8843295,-76.9250522,68125.0,24.0,26.7,431558,0
11001009906,99.06,Census Tract 99.06,38.8879464,-76.9359151,73173.0,15.7,16.2,252684,0
11001002102,21.02,Census Tract 21.02,38.9557854,-77.0142356,97659.0,9.0,4.1,725975,0
11001002201,22.01,Census Tract 22.01,38.9491337,-77.0232932,160938.0,2.3,0.0,415173,0
11001002202,22.02,Census Tract 22.02,38.9479653,-77.0118821,92805.0,13.5,14.1,698895,566
11001002301,23.01,Census Tract 23.01,38.942552,-77.0165915,144167.0,10.6,8.0,407679,0
11001006400,64.0,Census Tract 64,38.8688572,-77.0114342,83409.0,31.4,42.9,691410,243648
11001006500,65.0,Census Tract 65,38.883848,-77.0033314,151464.0,18.1,13.2,509297,0
11001006600,66.0,Census Tract 66,38.8877585,-76.9982439,163783.0,5.9,0.0,285156,0
11001006700,67.0,Census Tract 67,38.8875984,-76.989959,166250.0,0.8,0.0,428358,0
11001006802,68.02,Census Tract 68.02,38.8832158,-76.9814483,162173.0,11.3,1.0,280108,0
11001007408,74.08,Census Tract 74.08,38.8525662,-76.9706266,24487.0,45.8,48.3,372349,0
11001007409,74.09,Census Tract 74.09,38.8445818,-76.975165,40789.0,38.4,37.8,404873,5767
11001007809,78.09,Census Tract 78.09,38.9015402,-76.9321955,75686.0,21.7,17.2,535254,0
11001007903,79.03,Census Tract 79.03,38.8964252,-76.9743021,98387.0,14.6,8.3,247945,0
11001008001,80.01,Census Tract 80.01,38.8961726,-76.9866524,208750.0,2.2,0.8,322795,0
11001009400,94.0,Census Tract 94,38.9368061,-76.9742464,144230.0,8.1,6.8,1582882,0
11001009503,95.03,Census Tract 95.03,38.9434458,-76.9845276,121628.0,11.2,9.5,1423609,0
11001009504,95.04,Census Tract 95.04,38.9409032,-76.9931121,103469.0,20.2,8.7,1033168,0
11001009505,95.05,Census Tract 95.05,38.9618925,-77.0051999,96106.0,6.5,3.8,1033208,0
11001009907,99.07,Census Tract 99.07,38.8827718,-76.9388146,67724.0,28.1,27.5,466954,0
11001002501,25.01,Census Tract 25.01,38.9446515,-77.0317348,173913.0,3.9,0.8,543460,0
11001002302,23.02,Census Tract 23.02,38.934127,-77.0095843,106756.0,9.1,6.6,2010924,5298
11001002400,24.0,Census Tract 24,38.9417822,-77.0224058,144167.0,5.2,0.9,556408,0
11001007000,70.0,Census Tract 70,38.8812697,-76.9959451,176875.0,5.5,4.9,439473,0
11001007100,71.0,Census Tract 71,38.8771811,-76.986838,122071.0,18.8,20.7,602223,149901
11001006900,69.0,Census Tract 69,38.8836933,-76.9873112,206429.0,3.7,0.0,398513,0
11001009507,95.07,Census Tract 95.07,38.9584945,-76.9977787,104250.0,15.5,16.7,295290,0
11001009508,95.08,Census Tract 95.08,38.9536826,-76.9985582,90903.0,11.0,7.8,962212,0
11001009509,95.09,Census Tract 95.09,38.949214,-76.9950319,116613.0,2.1,0.0,648848,0
11001009700,97.0,Census Tract 97,38.8354183,-76.9870248,49449.0,21.6,21.2,403051,3427
11001009801,98.01,Census Tract 98.01,38.8328939,-76.9963306,16415.0,32.7,15.7,431384,7884
11001002801,28.01,Census Tract 28.01,38.9349477,-77.0345166,86029.0,14.1,13.1,171910,0
11001002802,28.02,Census Tract 28.02,38.9294344,-77.0346327,82675.0,34.4,38.8,229696,0
11001004001,40.01,Census Tract 40.01,38.9208772,-77.0462939,148125.0,6.2,11.5,271037,2414
11001004002,40.02,Census Tract 40.02,38.9181186,-77.0437209,167102.0,4.1,0.0,194755,0
11001003600,36.0,Census Tract 36,38.9236744,-77.0296273,123810.0,9.4,0.0,305616,0
11001004201,42.01,Census Tract 42.01,38.9162076,-77.0388456,150455.0,7.3,10.4,204529,0
11001004202,42.02,Census Tract 42.02,38.9134023,-77.0430254,101146.0,15.0,0.0,207646,0
11001007407,74.07,Census Tract 74.07,38.8574823,-76.9850206,52917.0,32.6,38.6,608700,0
11001006801,68.01,Census Tract 68.01,38.8877413,-76.9801087,171466.0,13.3,6.4,244750,0
11001010700,107.0,Census Tract 107,38.9039988,-77.0419809,101786.0,13.5,0.0,891588,0
11001009604,96.04,Census Tract 96.04,38.8931572,-76.9585043,81167.0,8.6,5.9,503381,65762
11001000201,2.01,Census Tract 2.01,38.9092171,-77.0743418,,100.0,,505004,0
11001000300,3.0,Census Tract 3,38.9179099,-77.0748728,174470.0,6.6,0.0,1042156,2305
11001000400,4.0,Census Tract 4,38.9227989,-77.0649214,188929.0,14.1,5.9,1541238,69
11001000502,5.02,Census Tract 5.02,38.9283547,-77.0595624,157344.0,6.9,6.8,581507,0
11001004600,46.0,Census Tract 46,38.9097456,-77.0133001,147237.0,7.7,7.9,437422,0
11001004801,48.01,Census Tract 48.01,38.9117413,-77.0195344,171694.0,11.4,8.8,317222,0
11001004802,48.02,Census Tract 48.02,38.9062118,-77.0188917,121574.0,5.0,0.0,288793,0
11001004902,49.02,Census Tract 49.02,38.9058867,-77.0243932,160000.0,6.1,3.6,263878,0
11001007401,74.01,Census Tract 74.01,38.8675208,-76.9991203,,58.8,67.5,1209112,200980
11001007403,74.03,Census Tract 74.03,38.8484714,-76.9743805,21850.0,55.8,58.4,330904,0
11001000600,6.0,Census Tract 6,38.9368114,-77.0675114,183421.0,3.7,1.7,1441865,71
11001000702,7.02,Census Tract 7.02,38.9241271,-77.077893,87750.0,9.1,2.6,308966,0
11001007404,74.04,Census Tract 74.04,38.8503364,-76.9820932,52412.0,18.8,19.1,826388,0
11001007301,73.01,Census Tract 73.01,38.834928,-77.024445,124519.0,2.2,0.8,4684642,5139082
11001002702,27.02,Census Tract 27.02,38.930168,-77.0421774,137910.0,5.0,1.9,479022,7175
11001008301,83.01,Census Tract 83.01,38.8970372,-77.0008008,173542.0,6.6,0.0,303970,0
11001001600,16.0,Census Tract 16,38.9849725,-77.0382324,219241.0,4.5,1.4,2667590,7820
11001010500,105.0,Census Tract 105,38.8818529,-77.0133789,107414.0,24.3,27.2,749891,0
11001009204,92.04,Census Tract 92.04,38.9234161,-76.9987071,45575.0,26.6,22.9,308465,0
11001007304,73.04,Census Tract 73.04,38.8417979,-76.9855591,41833.0,22.4,23.4,1232841,8983
11001003000,30.0,Census Tract 30,38.9288689,-77.0299525,103100.0,26.0,27.9,210636,0
11001007502,75.02,Census Tract 75.02,38.8568592,-76.9697843,44746.0,30.3,31.0,648317,0
11001007503,75.03,Census Tract 75.03,38.8640724,-76.98709,59653.0,25.9,22.2,515179,0
11001000902,9.02,Census Tract 9.02,38.9285125,-77.1077517,231250.0,3.1,1.5,1867106,307257
11001001500,15.0,Census Tract 15,38.9741576,-77.0558797,250001.0,1.2,0.0,4684714,39895
11001009603,96.03,Census Tract 96.03,38.8918285,-76.9477195,52837.0,30.8,30.0,607400,0
11001000501,5.01,Census Tract 5.01,38.9264548,-77.051434,109116.0,7.7,0.0,940249,29503
11001003302,33.02,Census Tract 33.02,38.9139237,-77.0111677,161250.0,8.4,0.0,204237,0
11001008402,84.02,Census Tract 84.02,38.898596,-76.991021,125231.0,6.3,3.3,274180,0
11001009602,96.02,Census Tract 96.02,38.9035769,-76.9523616,34476.0,40.2,43.0,1306709,67073
11001000802,8.02,Census Tract 8.02,38.9126765,-77.0896118,144250.0,9.9,7.7,1688581,669985
11001001301,13.01,Census Tract 13.01,38.9519215,-77.0520508,102321.0,9.3,5.7,2855501,26550
11001002001,20.01,Census Tract 20.01,38.9597034,-77.0351061,77361.0,23.7,18.5,632724,1132
11001007708,77.08,Census Tract 77.08,38.8871944,-76.9606349,51573.0,18.3,9.6,745809,129100
11001001402,14.02,Census Tract 14.02,38.9606051,-77.0630933,185250.0,3.4,1.4,895209,0
