"Owner","_lat","_lon","addr:city","addr:country","addr:housenumber","addr:postcode","addr:state","addr:street","aeroway","amenity","building","camera:direction","camera:mount","camera:type","changeset","check_date","dataset","dcgis:captureyear","dcgis:dataset","dcgis:featurecode","dcgis:gis_id","direction","ele","email","enforcement","faa","fax","gnis:feature_id","height","highway","id","lit","man_made","manufacturer","manufacturer:wikidata","mappingdc:gid","maxspeed","name","name:zh","name:zh-Hans","opening_hours","operator","operator:short","operator:type","operator:wikidata","phone","police","ref","source","surface","surveillance","surveillance:type","surveillance:zone","timestamp","traffic_signals","uid","user","version","website","wikidata"
,"38.87342737499003","-77.08958387374878",,,,,,,,,,"70","traffic_signals","fixed",115766065,,,,,,,,,,,,,,,,"node/9392688846",,"surveillance",,,,,,,,,,,,,,,,,,"traffic","camera","traffic","2022-01-04T18:12:45Z",,9509339,"KB-01",1,,,
,"38.87018642754998","-77.10035562515259",,,,,,,,,,"90","street_lamp","fixed",172371678,,,,,,,,,,,,,,,,"node/13166892233",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,"ALPR",,"2025-09-24T03:18:01Z",,23309901,"chaubursin",1,,,
,"38.8709883252109","-77.10089206695557",,,,,,,,,,,"pole","fixed",181476368,,,,,,,"285",,,,,,,,,"node/13155791970",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,"ALPR",,"2026-04-17T20:58:49Z",,23837425,"trywrite",2,,,
,"38.88091106008156","-77.0903992652893",,,,,,,,,,,"light post (with solar panel)","fixed",177704803,,,,,,,"319",,,,,,,,,"node/13485289801",,"surveillance","Leonardo","Q910379",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-01-26T03:34:55Z",,23435942,"Mpugs",1,,,
,"38.88074402213866","-77.08745956420898",,,,,,,,,,,,"fixed",177044745,,,,,,,"112",,,,,,,,,"node/13443991301",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-01-09T23:29:26Z",,1973252,"Ravenfc",1,,,
,"38.87985871448575","-77.09001302719116",,,,,,,,,,,"pole","fixed",179809150,,,,,,,"120",,,,,,,,,"node/13645173601",,"surveillance","Leonardo","Q910379",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-03-13T12:38:17Z",,23750221,"Nibbler3000",1,,,
,"38.845523658679355","-77.08709478378296",,,,,,,,,,"160","building","fixed",129616843,,,,,,,,,,,,,,,,"node/10231599050",,"surveillance",,,,,,,,,,,,,,,,,,"outdoor","camera","street","2022-12-01T19:05:18Z",,8581596,"Bcarr91",1,,,
,"38.84933391323548","-77.09278106689453",,,,,,,,,,,,"fixed",178114382,,,,,,,"315",,,,,,,,,"node/13525145585",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,"ALPR",,"2026-02-04T22:16:26Z",,23789789,"is=",1,,,
,"38.84996893582081","-77.0855712890625",,,,,,,,,,,,"fixed",175199210,,,,,,,"245",,,,,,,,,"node/13335153601",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-11-27T13:47:00Z",,23551699,"jazzytwigs",3,,,
,"38.8542134148847","-77.08840370178223",,,,,,,,,,,"pole","fixed",176754670,,,,,,,"161",,,,,,,,,"node/13427079801",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-01-02T17:52:25Z",,2193602,"joeys",1,,,
,"38.83213601502274","-77.09537744522095",,,,,,,,,,,,"fixed",171845479,,,,,,,"315",,,,,,,,,"node/13139379656",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"camera","ALPR","traffic","2025-09-12T18:23:10Z",,23269660,"Abo Lition",1,,,
,"38.83295505680647","-77.09552764892578",,,,,,,,,,,,"fixed",171845667,,,,,,,"130",,,,,,,,,"node/13139673329",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"traffic","ALPR","traffic","2025-09-12T18:29:44Z",,23269660,"Abo Lition",1,,,
,"38.83639827222751","-77.10102081298828",,,,,,,,,,,"pole","fixed",164053854,,,,,,,"330",,,,,,,,,"node/12697578212",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-03-24T22:18:19Z",,3568417,"PhotogInKilt",1,,,
,"38.836314701010195","-77.10348844528198",,,,,,,,,,,"pole","fixed",164053854,,,,,,,"180",,,,,,,,,"node/12697578215",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-03-24T22:18:19Z",,3568417,"PhotogInKilt",1,,,
,"38.83751811707185","-77.10614919662476",,,,,,,,,,,"pole","fixed",164053854,,,,,,,"200",,,,,,,,,"node/12697578214",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-03-24T22:18:19Z",,3568417,"PhotogInKilt",1,,,
,"38.84196389439049","-77.10627794265747",,,,,,,,,,,"pole","fixed",173601433,,,,,,,,,,,,,,,,"node/13248692860",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-10-21T20:57:29Z",,17230350,"andrewth1",1,,,
,"38.84196389439049","-77.10627794265747",,,,,,,,,,,"pole","fixed",179606958,,,,,,,"98",,,,,,,,,"node/13631161101",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-03-09T22:23:09Z",,23837425,"trywrite",1,,,
,"38.84206417187863","-77.10529088973999",,,,,,,,,,,,"fixed",172292752,,,,,,,"90",,,,,,,,,"node/13162065811",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"camera","ALPR","traffic","2025-09-22T12:34:59Z",,23269660,"Abo Lition",1,,,
,"38.83701669618583","-77.08471298217773",,,,,,,,,,,"pole","fixed",166672961,,,,,,,"180",,,,,,,,,"node/12858977477",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-05-23T20:30:32Z",,22867456,"Will2285",1,,,
,"38.840376148661505","-77.08398342132568",,,,,,,,,,,"pole","fixed",166672961,,,,,,,"120",,,,,,,,,"node/12858977478",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2025-05-23T20:30:32Z",,22867456,"Will2285",1,,,
,"38.84281624853543","-77.08576440811157",,,,,,,,,,,,"fixed",174128388,,,,,,,"15",,,,,,,,,"node/13276824525",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,"ALPR",,"2025-11-03T02:10:04Z",,23463459,"deFlock42",1,,,
,"38.843066938987846","-77.0855712890625",,,,,,,,,,,"pole","fixed",179588612,,,,,,,"333",,,,,,,,,"node/13630073901",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-03-09T14:31:51Z",,23837425,"trywrite",1,,,
,"38.84234829066105","-77.07460641860962",,,,,,,,,,,,"fixed",171843661,,,,,,,"90",,,,,,,,,"node/13138814382",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"camera","ALPR","traffic","2025-09-12T17:35:08Z",,23269660,"Abo Lition",1,,,
,"38.84234829066105","-77.07490682601929",,,,,,,,,,,,"fixed",171637688,,,,,,,"180",,,,,,,,,"node/13128076272",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,"ALPR","traffic","2025-09-08T14:08:34Z",,23269660,"Abo Lition",1,,,
,"38.829327800215054","-77.09065675735474",,,,,,,,,,,,"fixed",178023674,,,,,,,"295-340",,,,,,,,,"node/13520330001",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-02-02T20:39:36Z",,23589250,"canttouchme",1,,,
,"38.82773977256815","-77.08855390548706",,,,,,,,,,,,"fixed",178518303,,,,,,,"305",,,,,,,,,"node/13556553201",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-02-13T19:09:31Z",,21814443,"qnsc",1,,,
,"38.826435891806796","-77.08696603775024",,,,,,,,,,,,"fixed",178023618,,,,,,,"89-134",,,,,,,,,"node/13520324901",,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,"public","ALPR","traffic","2026-02-02T20:37:53Z",,23589250,"canttouchme",1,,,
,"38.823192802764424","-77.08258867263794",,,,,,,,,,,,"dome",176552245,,,,,,,,,,,,,,,,"node/13414597426",,"surveillance",,,,,,,,,,,,,,,,,,"outdoor","camera",,"2025-12-28T23:32:47Z",,23361715,"AM2025",1,,,
,"38.8839844881461","-76.99489116668701",,,,,,,,,,,,"fixed",180220976,,,,,,,"110",,,,,,,,,"node/13667475401",,"surveillance","Flock Safety","Q108485435",,,,,,,"Metro Police Department",,,,,,,,,"public","ALPR","traffic","2026-03-21T18:34:45Z",,23307562,"Wedge A",1,,,
,"38.88440206322224","-76.99506282806396",,,,,,,,,,"284",,"fixed",173558155,,,,,,,,,,,,,,,,"node/13179006642",,"surveillance","Flock Safety",,,,,,,,,,,"Q108485435",,,,,,,"ALPR","traffic","2025-10-20T22:33:26Z",,19955230,"floweringnight",2,,,
,"38.879190550462965","-76.99508428573608",,,,,,,,,,,,"fixed",180265589,,,,,,,"182",,,,,,,,,"node/13669753701",,"surveillance","Flock Safety","Q108485435",,,,,,,"Metro Police Department",,,,,,,,,"public","ALPR","traffic","2026-03-22T18:06:30Z",,23307562,"Wedge A",1,,,
,"38.87934088791587","-76.99416160583496",,,,,,,,,,,,"fixed",180265808,,,,,,,"273",,,,,,,,,"node/13669761201",,"surveillance","Flock Safety","Q108485435",,,,,,,"Metro Police Department",,,,,,,,,"public","ALPR","traffic","2026-03-22T18:10:38Z",,23307562,"Wedge A",1,,,
