"_lat","_lon","access","addr:city","addr:country","addr:housenumber","addr:postcode","addr:state","addr:street","air_conditioning","alt_name","alt_name:en","amenity","barrier","building","building:levels","building:levels:aboveground","building:material","camera:direction","camera:mount","camera:type","changeset","check_date","covered","dataset","dcgis:captureyear","dcgis:dataset","dcgis:featurecode","dcgis:gis_id","dcgis:lot","dcgis:square","direction","ele","email","enforcement","facebook","fax","gnis:feature_id","government","height","highway","id","indoor","lit","man_made","manufacturer","manufacturer:wikidata","mappingdc:gid","maxspeed","name","name:be","name:el","name:en","name:es","name:pl","name:ru","not:operator:wikidata","note","office","opening_hours","operator","operator:short","operator:type","operator:wikidata","owner","phone","police","ref","roof:shape","short_name","short_name:be","short_name:en","short_name:ru","smoking","source","subject:wikidata","support","surveillance","surveillance:type","surveillance:zone","tiger:reviewed","timestamp","traffic_sign","type","uid","user","version","website","wheelchair","wikidata","wikimedia_commons","wikipedia"
"38.91531250344531","-77.08842515945435",,,,,,,,,,,,,,,,,,,,50120294,,,,,,,,,,,,,,,,,,,,"node/4957641409",,,"surveillance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"camera",,,"2017-07-07T23:11:34Z",,,550560,"Seandebasti",1,,,,,,
"38.89963352411789","-77.0985746383667",,,,,,,,,,,,,,,,,,,,173514341,,,,,,,,,,"80",,,,,,,,,,"node/13244875991",,,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"Arlington County Police Department",,,,,,,,,,,,,,,,,"camera","ALPR","traffic",,"2025-10-20T00:39:48Z",,,23414436,"PackerFan_0007!",1,,,,,,
"38.89980051764647","-77.09855318069458",,,,,,,,,,,,,,,,,,,"fixed",173514350,,,,,,,,,,"260",,,,,,,,,,"node/13244881230",,,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"traffic","ALPR","traffic",,"2025-10-20T00:40:54Z",,,23414436,"PackerFan_0007!",1,,,,,,
"38.88937936914172","-77.0917296409607",,,,,,,,,,,,,,,,,,,"fixed",174748073,,,,,,,,,,"200",,,,,,,,,,"node/7120042451",,,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"Arlington County Police Department",,,,,,,,,,,,,,,,,"camera","ALPR","traffic",,"2025-11-16T22:18:23Z",,,23513215,"gravesman",2,,,,,,
"38.889713404031255","-77.08359718322754",,,,,,,,,,,,,,,,,,"pole","dome",57645735,,,,,,,,,,,,,,,,,,,,"node/1690324728",,,"surveillance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outdoor","camera","town",,"2018-03-29T20:47:28Z",,,189712,"speaketh",4,,,,,,
"38.890014034088836","-77.08361864089966",,,,,,,,,,,,,,,,,,"pole","dome",57645735,,,,,,,,,,,,,,,,,,,,"node/1690324736",,,"surveillance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outdoor","camera","town",,"2018-03-29T20:47:28Z",,,189712,"speaketh",4,,,,,,
"38.88091106008156","-77.0903992652893",,,,,,,,,,,,,,,,,,"light post (with solar panel)","fixed",177704803,,,,,,,,,,"319",,,,,,,,,,"node/13485289801",,,"surveillance","Leonardo","Q910379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"public","ALPR","traffic",,"2026-01-26T03:34:55Z",,,23435942,"Mpugs",1,,,,,,
"38.88074402213866","-77.08745956420898",,,,,,,,,,,,,,,,,,,"fixed",177044745,,,,,,,,,,"112",,,,,,,,,,"node/13443991301",,,"surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"public","ALPR","traffic",,"2026-01-09T23:29:26Z",,,1973252,"Ravenfc",1,,,,,,
"38.87985871448575","-77.09001302719116",,,,,,,,,,,,,,,,,,"pole","fixed",179809150,,,,,,,,,,"120",,,,,,,,,,"node/13645173601",,,"surveillance","Leonardo","Q910379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"public","ALPR","traffic",,"2026-03-13T12:38:17Z",,,23750221,"Nibbler3000",1,,,,,,
"38.94298854949028","-76.96480751037598",,,,,,,,,,,,,,,,,"95","pole","fixed",99836233,,,,,,,,,,,,,,,,,,,,"node/8449759179",,,"surveillance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"camera","camera","street",,"2021-02-23T14:47:57Z",,,651903,"0x0000",2,,,,,,
