"_lat","_lon","addr:city","addr:housenumber","addr:postcode","addr:state","addr:street","amenity","barrier","brand","brand:wikidata","building","building:levels","building:material","camera:direction","camera:model","camera:mount","camera:type","changeset","check_date","dataset","dcgis:captureyear","dcgis:gis_id","dcgis:lot","dcgis:square","direction","ele","electricity","emergency","enforcement","facebook","gnis:feature_id","highway","id","man_made","manufacturer","manufacturer:wikidata","maxspeed","name","opening_hours","operator","operator:short","operator:type","operator:wikidata","phone","police","ref","roof:shape","source","surveillance","surveillance:type","surveillance:zone","tiger:reviewed","timestamp","uid","user","version","website","wheelchair","wikidata"
"38.941219475218475","-77.13413000106812",,,,,,,,,,,,,,,"pole","fixed",180732501,,,,,,,"156",,,,,,,,"node/13699158501","surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,"public","ALPR","traffic",,"2026-04-01T17:05:31Z",23677048,"butterfly-affinity",1,,,,
"38.9610773033869","-77.08396196365356",,,,,,,,,,,,,,,"street_lamp","fixed",181865635,,,,,,,,,,,"stop_sign",,,,"node/13765054392","surveillance",,,,,,,,,,,,,,,"traffic","camera",,,"2026-04-26T21:40:50Z",11523236,"willkmis",1,,,,
"38.962645667838245","-76.97036504745483",,,,,,,,,,,,,,,,"fixed",177626403,,,,,,,"95",,,,,,,,"node/13480294707","surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"ALPR",,,"2026-01-23T21:08:04Z",23744777,"CrunchDaddy",1,,,,
"38.96234534541804","-76.96963548660278",,,,,,,,,,,,,,,,"fixed",177626403,,,,,,,"290",,,,,,,,"node/13480294708","surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"ALPR",,,"2026-01-23T21:08:04Z",23744777,"CrunchDaddy",1,,,,
"38.94298854949028","-76.96480751037598",,,,,,,,,,,,,"95",,"pole","fixed",99836233,,,,,,,,,,,,,,,"node/8449759179","surveillance",,,,,,,,,,,,,,,"camera","camera","street",,"2021-02-23T14:47:57Z",651903,"0x0000",2,,,,
"38.94293848195747","-76.96470022201538",,,,,,,,,,,,,"45",,"wall","fixed",162925270,"2025-02-25",,,,,,,,,,,,,,"node/8449759895","surveillance",,,,,,,,,,,,,,"local knowledge","outdoor","camera","street",,"2025-02-25T10:14:51Z",651903,"0x0000",2,,,,
"38.94323888662399","-76.96521520614624",,,,,,,,,,,,,"345",,"pole","dome",166153591,,,,,,,,,,,,,,,"node/12830388171","surveillance",,,,,,,,,,,,,,,"cctv","camera","area",,"2025-05-12T13:42:34Z",651903,"0x0000",1,,,,
"38.94323888662399","-76.96521520614624",,,,,,,,,,,,,"345",,"pole","fixed",166153591,,,,,,,,,,,,,,,"node/12830388170","surveillance",,,,,,,,,,,,,,,"traffic","camera","street",,"2025-05-12T13:42:34Z",651903,"0x0000",1,,,,
"38.93808176322534","-76.96081638336182",,,,,,,,,,,,,"20",,"pole","fixed",163267102,"2025-03-05",,,,,,,,,,,,,,"node/8481217465","surveillance",,,,,,,,,,,,,,,"outdoor","camera","building",,"2025-03-06T01:58:55Z",651903,"0x0000",2,,,,
"38.92881802690641","-77.0325493812561",,,,,,,,,,,,,,,"pole","dome",168852894,"2025-07-12",,,,,,,,,,,,,,"node/6416257421","surveillance",,,,,,,,,,,,,,,"outdoor","camera","street",,"2025-07-12T21:35:32Z",8486808,"John Kastner",2,,,,
"38.9361623496803","-77.03656196594238",,,,,,,,,,,,,,,,"fixed",172227515,,,,,,,"140",,,,,,,,"node/13158951821","surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"ALPR",,,"2025-09-21T02:00:29Z",22566125,"hello_moto",1,,,,
"38.93736407554613","-77.03634738922119",,,,,,,,,,,,,,,,"fixed",171944155,,,,,,,"345",,,,,,,,"node/13143737413","surveillance","Flock Safety","Q108485435",,,,,,,,,,,,,,"ALPR",,,"2025-09-15T04:10:34Z",22566125,"hello_moto",2,,,,
