feed_label,feed_role,transit_need_quartile,n_tracts,mean_weekday_trips_accessible,median_weekday_trips_accessible,mean_weekend_trips_accessible,mean_accessible_stop_count,mean_weekday_trips_per_1000_residents
2024_january,early_pre_implementation_context,low,58,1820.655172413793,1505.0,1044.2241379310344,52.706896551724135,425.6862155197715
2024_january,early_pre_implementation_context,moderate_low,58,2238.862068965517,1922.5,1476.3275862068965,53.8448275862069,520.5440612134831
2024_january,early_pre_implementation_context,moderate_high,58,2292.706896551724,1997.5,1418.9655172413793,53.44827586206897,533.0232697447925
2024_january,early_pre_implementation_context,high,58,3037.551724137931,2355.5,2086.8275862068967,54.706896551724135,821.6921798113949
2024_may,pre_implementation_context,low,58,1823.448275862069,1517.5,1044.844827586207,52.91379310344828,426.2922914914281
2024_may,pre_implementation_context,moderate_low,58,2239.3793103448274,1922.5,1476.3275862068965,53.89655172413793,520.7151632245021
2024_may,pre_implementation_context,moderate_high,58,2293.137931034483,1997.5,1419.2758620689656,53.51724137931034,533.1263286270832
2024_may,pre_implementation_context,high,58,3037.551724137931,2355.5,2086.8275862068967,54.706896551724135,821.6921798113949
2024_september,pre_implementation_context,low,58,1848.9137931034484,1529.0,1048.6206896551723,53.3448275862069,431.183859002805
2024_september,pre_implementation_context,moderate_low,58,2216.0689655172414,1937.0,1470.448275862069,53.96551724137931,514.2466411363383
2024_september,pre_implementation_context,moderate_high,58,2267.310344827586,1997.5,1409.948275862069,53.53448275862069,526.6192677102046
2024_september,pre_implementation_context,high,58,2989.4655172413795,2389.0,2069.3793103448274,54.8448275862069,809.7710603953822
2025_january,primary_pre_phase1_baseline,low,58,1826.3103448275863,1516.0,1044.0,53.224137931034484,425.2760275577444
2025_january,primary_pre_phase1_baseline,moderate_low,58,2174.7241379310344,1846.5,1460.0172413793102,53.94827586206897,503.8821001165991
2025_january,primary_pre_phase1_baseline,moderate_high,58,2219.2586206896553,1905.5,1395.9827586206898,53.48275862068966,515.8091262650656
2025_january,primary_pre_phase1_baseline,high,58,2948.9137931034484,2310.0,2047.6379310344828,54.827586206896555,798.5169660332423
2025_june,primary_post_phase1_feed,low,58,1823.3103448275863,1464.0,1005.1206896551724,50.827586206896555,425.2860322463182
2025_june,primary_post_phase1_feed,moderate_low,58,2240.689655172414,1895.5,1461.7586206896551,52.672413793103445,512.8338799814909
2025_june,primary_post_phase1_feed,moderate_high,58,2237.6724137931033,1972.0,1404.6896551724137,51.327586206896555,519.2245310803926
2025_june,primary_post_phase1_feed,high,58,2922.1724137931033,2431.5,1990.1896551724137,51.327586206896555,791.4100569089752
2025_september,post_phase1_followup,low,58,1809.0344827586207,1483.0,1005.5172413793103,50.810344827586206,421.6836762842852
2025_september,post_phase1_followup,moderate_low,58,2231.603448275862,1895.5,1460.051724137931,52.53448275862069,511.02087420717953
2025_september,post_phase1_followup,moderate_high,58,2222.4137931034484,1952.0,1400.5,51.1551724137931,515.8638185702423
2025_september,post_phase1_followup,high,58,2909.603448275862,2411.0,1988.2068965517242,51.3448275862069,788.3598291025481
2026_may_current,published_current_feed_as_of_2026_04_30,low,58,1807.1206896551723,1482.0,1002.2068965517242,50.775862068965516,421.3720270021899
2026_may_current,published_current_feed_as_of_2026_04_30,moderate_low,58,2214.0344827586205,1895.5,1451.5862068965516,52.310344827586206,506.4978348704784
2026_may_current,published_current_feed_as_of_2026_04_30,moderate_high,58,2207.3793103448274,1952.0,1391.9655172413793,51.01724137931034,512.3613216846483
2026_may_current,published_current_feed_as_of_2026_04_30,high,58,2883.844827586207,2411.0,1973.6896551724137,51.12068965517241,781.5257279351589
